ID,PESQ,ESTOI,SISDR,OVRL,SIG,BAK,P808_MOS
ID3,1.998,0.814,7.664,2.457,2.873,3.705,3.919
ID4,2.050,0.816,8.552,2.751,3.146,3.806,3.934
ID8,1.858,0.778,7.368,2.512,2.858,3.852,3.966
ID9,3.000,0.909,14.384,2.992,3.388,3.932,4.090
