ID,PESQ,ESTOI,SISDR,OVRL,SIG,BAK,P808_MOS
TF,1.868,0.637,7.063,2.746,3.085,3.916,3.382
SP,2.837,0.842,13.208,3.154,3.437,4.106,3.644
