ID,PESQ,ESTOI,SISDR,OVRL,SIG,BAK,P808_MOS
TF,2.225,0.823,9.614,3.297,3.545,4.197,3.625
SP,3.853,0.969,18.956,3.496,3.719,4.239,3.992
