ID,PESQ,ESTOI,SISDR,OVRL,SIG,BAK,P808_MOS
TF,1.582,0.756,9.619,3.149,3.357,4.162,3.708
SP,3.290,0.944,17.249,3.351,3.598,4.137,4.227
