ID,PESQ,ESTOI,SISDR,OVRL,SIG,BAK,P808_MOS
ID3,1.474,0.676,4.095,2.401,3.042,3.141,3.194
ID4,1.335,0.637,2.125,2.567,3.123,3.330,3.146
ID8,1.826,0.709,6.370,2.573,3.094,3.417,3.592
ID9,2.458,0.793,9.617,2.777,3.179,3.711,3.570
